id,country,city,name,institution_stat,zipcode,date
862,usa,omaha,metro comm -e college,ne,68103,12/2/2016
863,usa,omaha,metropolitan cmty coll,ne,68111,12/2/2016
864,usa,boston,northeastern university,ma,02115-5005,12/3/2016
865,usa,toledo,univ of toledo - health sci cmps,oh,43614-2595,12/5/2016
866,usa,fort myers,southwest florida coll bus,fl,33907-1157,1/29/2016
867,usa,waxahachie,navarro coll - waxahachie,tx,75165,1/29/2016
868,usa,arlington,tarrant cnty coll se,tx,76018,1/29/2016
869,usa,oklahoma city,oklahoma city comm coll,ok,73159,1/29/2016
870,usa,valley city,valley city state univ,nd,58072,1/29/2016
871,usa,marietta,chattahoochee tech,ga,30060-3304,1/29/2016
872,usa,midlothian,navarro coll - midlothian,tx,76065,1/29/2016
873,usa,rapid city,south dakota sch mines tech,sd,57701-3901,1/29/2016
874,usa,elkins,davis &amp;elkins college,wv,26241-3971,1/29/2016
875,usa,twin falls,college of southern idaho,id,83301,1/29/2016
876,usa,south burlington,comm coll of vermont,vt,05403-6241,1/29/2016
877,usa,freeport,highland community college,il,61032-9338,1/29/2016
878,usa,olean,jamestown cmty coll (olean),ny,14760-2662,1/29/2016
879,usa,cedar rapids,mount mercy university,ia,52402,1/29/2016
880,usa,homestead,miami dade coll - homestead,fl,33030,1/29/2016
881,usa,salisbury,salisbury university,md,21801-6837,1/29/2016
882,usa,fort worth,tarrant cc - trinity river,tx,76102,1/29/2016
883,usa,san pablo,contra costa college,ca,94806,1/29/2016
884,usa,orchard park,erie cmty coll south campus,ny,14127-2100,1/29/2016
885,usa,brockport,state univ coll brockport,ny,14420-2997,1/29/2016
886,usa,chester,widener university,pa,19013-5700,1/29/2016
887,usa,laramie,univ of wyoming - laramie,wy,82071,1/29/2016
888,usa,rock springs,w wyoming comm coll,wy,82901,1/29/2016
889,usa,columbus,columbus state comm coll,oh,43215-1722,1/29/2016
890,usa,hagerstown,hagerstown community college,md,21742,1/29/2016
891,usa,waco,mclennan community college,tx,76708,1/29/2016
892,usa,newburgh,mt st mary college,ny,12550-3412,1/29/2016
893,usa,hamden,quinnipiac university,ct,06518-1905,1/29/2016
894,usa,flint,charles s mott comm coll,mi,48503-6208,1/29/2016
895,usa,azusa,azusa pacific university,ca,91702,1/29/2016
896,usa,tigerville,north greenville university,sc,29688,1/29/2016
897,usa,tucson,pima college east campus,az,85709,1/29/2016
898,usa,brentwood,suffolk county cc (grant),ny,11717,1/29/2016
899,usa,orangeburg,orangeburg calhoun tec coll,sc,29115,1/29/2016
900,usa,philadelphia,temple univ,pa,19122-6003,1/29/2016
901,usa,alexandria,louisiana state univ-alexandri,la,71302-9119,1/29/2016
902,usa,la plata,college of southern maryland,md,20646-0910,1/29/2016
903,usa,san antonio,ccc group inc,tx,78219,1/29/2016
904,usa,murray,murray state university,ky,42071,1/29/2016
905,usa,stony brook,stony brook university,ny,11794,1/29/2016
906,usa,madison,madison area tech coll,wi,53704,1/30/2016
907,usa,dallas,mountain view college,tx,75211,1/30/2016
908,usa,willimantic,eastern conn state univ,ct,06226-2211,1/30/2016
909,usa,parma heights,cuyahoga cmty coll - westrn,oh,44130,1/30/2016
910,usa,new york,barnard coll-columbia univ,ny,10027-6909,1/30/2016
911,usa,aurora,waubonsee cc-aurora,il,60505,1/30/2016
912,usa,savannah,savannah coll of art &amp;design,ga,31415-2105,1/30/2016
913,usa,orlando,valencia coll - east,fl,32825-6404,1/30/2016
914,usa,daytona beach,bethune cookman university,fl,32114-3012,1/30/2016
915,usa,kealakekua,u h ctr  west hawaii,hi,96750,1/30/2016
916,usa,moorhead,mississippi delta cmty coll,ms,38761,1/30/2016
917,usa,denver,university of denver,co,80208,1/30/2016
918,usa,honolulu,honolulu community college,hi,96817,1/30/2016
919,usa,phoenix,gateway community college,az,85034,1/30/2016
920,usa,greenvale,long island univ - cw post ctr,ny,11548-1319,1/30/2016
921,usa,saint peters,st charles comm coll,mo,63376-2865,12/5/2016
922,usa,jackson,univ of mississippi med ctr,ms,39216-4500,12/5/2016
923,usa,chicago,olive harvey college,il,60628,12/5/2016
924,usa,omaha,metro comm -f college,ne,68111-1646,12/5/2016
925,usa,sewell,rowan coll at gloucester cty,nj,8080,12/5/2016
926,usa,oswego,suny at oswego,ny,13126-3501,12/5/2016
927,usa,chicago,robert morris univ  chicago,il,60605-1229,12/6/2016
928,usa,corpus christi,texas a&amp;m univ - corpus christi,tx,78412,12/6/2016
929,usa,madison,univ of wisconsin - madison,wi,53706,12/6/2016
930,usa,highland hills,cuyahoga cmty coll - east,oh,44122-6104,12/6/2016
931,usa,reading,albright college,pa,19604-1752,12/7/2016
932,usa,piscataway,umdnj - piscataway,nj,08854-8021,12/7/2016
933,usa,cambridge,harvard university,ma,2138,12/7/2016
934,usa,cazenovia,cazenovia college,ny,13035-1054,12/8/2016
935,usa,syracuse,onondaga community coll,ny,13215-4580,12/8/2016
936,usa,san rafael,dominican university of calif,ca,94901,12/8/2016
937,usa,omaha,metro comm -s college,ne,68103,12/11/2016
938,usa,norman,university of oklahoma,ok,73019,12/11/2016
939,usa,syracuse,syracuse univ,ny,13244,12/11/2016
940,usa,jacksonville,jacksonville college,tx,75766,12/12/2016
941,usa,harrisburg,hacc harrisburg,pa,17110-2903,12/12/2016
942,usa,castleton,castleton state college,vt,05735-4453,12/12/2016
943,usa,beatrice,southeast cmty coll-beatrice,ne,68310-7042,12/13/2016
944,usa,prosser,washington state univ,wa,99350,12/13/2016
945,usa,spartanburg,spartanburg comm coll,sc,29303,12/14/2016
946,usa,jackson,jackson state cmty college,tn,38301-3722,12/15/2016
947,usa,littleton,arapahoe comm coll,co,80160,12/15/2016
948,usa,supply,brunswick community college,nc,28462-0030,12/16/2016
949,usa,piscataway,rutgers u-busch campus,nj,8854,12/16/2016
950,usa,canton,saint lawrence university,ny,13617-1423,12/18/2016
951,usa,deland,daytona state coll - deland,fl,32724,12/19/2016
952,usa,bellevue,bellevue college,wa,98007,12/19/2016
953,usa,redding,simpson university,ca,96003,12/20/2016
954,usa,miami,miami-dade coll - virtual coll,fl,33132,1/30/2016
955,usa,gresham,mt hood community college,or,97030,1/30/2016
956,usa,jacksonville,fl st coll - jacksonville downtown,fl,32202-3099,1/30/2016
957,usa,new york,new york career institute,ny,10007,1/30/2016
958,usa,lincoln,cmty coll of r i-lincoln,ri,2865,1/30/2016
959,usa,bowling green,southcentral ky ctc - bowling green,ky,42101-3601,1/30/2016
960,usa,conway,univ of central arkansas,ar,72035-5001,1/30/2016
961,usa,cleveland,lakeshore tech college,wi,53015-1412,1/30/2016
962,usa,wingate,wingate univeristy,nc,28174,1/30/2016
963,usa,arlington,argosy univ/washington dc,va,22209-2490,1/30/2016
964,usa,palm bay,eastern fl st coll - palm bay,fl,32909-2206,1/30/2016
965,usa,beverly,endicott college,ma,01915-2096,1/30/2016
966,usa,monaca,community college of beaver cty,pa,15061-2566,1/30/2016
967,usa,midlothian,vccs - john tyler cc-midlothia,va,23114-4383,1/30/2016
968,usa,pocatello,idaho state university,id,83209,1/30/2016
969,usa,lincroft,brookdale community college,nj,07738-1399,1/30/2016
970,usa,galveston,texas a&amp;m univ - galveston,tx,77553,1/30/2016
971,usa,minneapolis,univ of minnesota - mpls,mn,55455-0110,1/30/2016
972,usa,great falls,great falls coll - msu,mt,59406-6010,1/30/2016
973,usa,lexington,davidson cty comm coll,nc,27295,1/30/2016
974,usa,tanner,calhoun cc,al,35671-4028,1/30/2016
975,usa,warren,kent state u-trumbull,oh,44483-1931,1/30/2016
976,usa,tacoma,university of puget sound,wa,98416,1/30/2016
977,usa,pewaukee,waukesha county tech coll,wi,53072,1/30/2016
978,usa,lewiston,lewis clark state college,id,83501,1/30/2016
979,usa,little rock,univ arkansas little rock,ar,72204-1000,1/30/2016
980,usa,river forest,concordia university,il,60305-1402,1/30/2016
981,usa,boston,boston univ,ma,2215,1/30/2016
982,usa,johnson city,east tennessee state univ,tn,37614,1/30/2016
983,usa,philippi,alderson broaddus university,wv,26416,1/31/2016
984,usa,orlando,valencia coll - lake nona,fl,32832,1/31/2016
985,usa,germantown,montgomery coll - germantown,md,20876,1/31/2016
986,usa,providence,comm college rhode island,ri,29052304,1/31/2016
987,usa,fall river,bristol community college,ma,02720-7307,1/31/2016
988,usa,washington,american university,dc,20016,1/31/2016
989,usa,pasco,columbia basin college,wa,99301,1/31/2016
990,usa,mobile,university of south alabama,al,36688-3053,8/23/2017
991,usa,galva,black hawk coll - e campus,il,61434-9476,8/23/2017
992,usa,cambridge,anoka ramsey cc - cambridge,mn,55008-5706,8/23/2017
993,usa,florence,francis marion univ,sc,29506,8/23/2017
994,usa,middletown,penn state u harrisburg,pa,17057-4846,8/23/2017
995,usa,colorado springs,csu pueblo,co,80909,8/23/2017
996,usa,kingsville,texas a&amp;m univ - kingsville,tx,78363,8/23/2017
997,usa,purchase,manhattanville college,ny,10577-2131,8/23/2017
998,usa,ft collins,front range c c - larimer,co,805263812,8/23/2017
999,usa,milwaukee,mount mary univ - wi,wi,53222-4545,8/23/2017
1000,usa,raleigh,meredith college,nc,27607-5237,8/23/2017
1001,usa,baltimore,morgan state university,md,21251-0001,8/23/2017
1002,usa,jackson,jackson state university,ms,39204-2335,8/23/2017
1003,usa,hiram,hiram college,oh,44234,8/23/2017
1004,usa,owensboro,kctcs-owensboro,ky,42303-1800,8/23/2017
1005,usa,ukiah,mendocino college,ca,95482,8/23/2017
1006,usa,mountain home,arkansas st univ-mtn home,ar,72653,8/23/2017
1007,usa,augusta,augusta college,ga,30904-4562,8/23/2017
1008,usa,baton rouge,baton rouge cmty college,la,70806-4156,8/23/2017
1009,usa,blue ash,uc - blue ash,oh,45236-1007,8/23/2017
1010,usa,inver grove heights,inver hills comm college,mn,55076-3224,8/23/2017
1011,usa,new rochelle,iona college,ny,10801-1830,8/23/2017
1012,usa,los angeles,cal state u - los angeles,ca,90032,8/23/2017
1013,usa,huntingdon,juniata college,pa,16652-2119,8/23/2017
1014,usa,cheraw,northeast technical college,sc,29520,8/23/2017
1015,usa,weyers cave,vccs - blue ridge cc,va,24486-0080,8/23/2017
1016,usa,quebec,Vanier College,montreal,H4L 3X9,8/23/2017
1017,usa,brooklyn park,north hennepin cmty college,mn,55445-2231,8/23/2017
1018,usa,danville,centre college,ky,40422-1309,12/22/2016
1019,usa,virginia beach,regent university,va,23464,12/22/2016
1020,usa,schenectady,union college,ny,12308-3103,12/22/2016
1021,usa,indianapolis,indiana univ-purdue u-indy,in,46202,12/25/2016
1022,usa,davis,univ of calif - davis,ca,95616,12/26/2016
1023,usa,perrysburg,healing arts institute,oh,43551-3138,12/28/2016
1024,usa,kokomo,indiana univ - kokomo,in,46904,12/29/2016
1025,usa,ironton,ohio univ southern campus,oh,45638-2279,12/29/2016
1026,usa,eureka,college of the redwoods,ca,95501,12/29/2016
1027,usa,westminster,carroll comm college,md,21157,12/30/2016
1028,usa,lakewood,clover park technical colle,wa,98499,12/31/2016
1029,usa,santa clara,mission college,ca,95054,1/1/2017
1030,usa,chicago,depaul univ-loop campus,il,60604-2201,1/1/2017
1031,usa,albany,excelsior college,ny,12203,1/2/2017
1032,usa,de pere,saint norbert college,wi,54115-2002,1/2/2017
1033,usa,los angeles,la coll of microtechnology,ca,90017,1/2/2017
1034,usa,spokane,spokane community college,wa,99217,1/2/2017
1035,usa,tacoma,tacoma community college,wa,98466,1/2/2017
1036,usa,naperville,north central college,il,60540-4607,1/2/2017
1037,usa,somerset,kctcs-somerset,ky,42501-2973,1/2/2017
1038,usa,longview,lower columbia college,wa,98632,1/3/2017
1039,usa,columbia,howard community college,md,21044,1/3/2017
1040,usa,glendora,citrus college,ca,91741-1899,1/3/2017
1041,usa,notre dame,university of notre dame,in,46556,1/3/2017
1042,usa,el cajon,cuyamaca college,ca,92019,1/3/2017
1043,usa,moses lake,big bend community college,wa,98837,1/3/2017
1044,usa,wilkes barre,wilkes university,pa,18766-0997,1/3/2017
1045,usa,philadelphia,drexel university,pa,19104-2816,1/4/2017
1046,usa,los altos hills,foothill c -los altos hills,ca,94022,1/31/2016
1047,usa,oneonta,suny at oneonta,ny,13820-2685,1/31/2016
1048,usa,venice,state coll of florida - venice,fl,34293-5113,1/31/2016
1049,usa,austin,austin c c - pinnacle,tx,78736,1/31/2016
1050,usa,pittsburgh,duquesne university,pa,15282,1/31/2016
1051,usa,lexington,kctcs-bluegrass-cooper,ky,40506-0001,1/31/2016
1052,usa,harriman,roane st cmty college,tn,37748-8615,1/31/2016
1053,usa,sidney,montcalm comm college,mi,48885-9723,1/31/2016
1054,usa,brunswick,college of coastal georgia,ga,31520-3632,1/31/2016
1055,usa,avondale,estrella mountain cc,az,85392,1/31/2016
1056,usa,westerville,otterbein university,oh,43081,1/31/2016
1057,usa,bloomington,ivy tech comm coll - bloomington,in,47404-9772,1/31/2016
1058,usa,cypress,cypress college,ca,90630,1/31/2016
1059,usa,folsom,folsom lake college,ca,95630,1/31/2016
1060,usa,ft pierce,indian river state college,fl,34981,1/31/2016
1061,usa,centralia,centralia college,wa,98531,1/31/2016
1062,usa,new york,pace university,ny,10038-1502,1/31/2016
1063,usa,schenectady,schenectady county cc,ny,12305,1/31/2016
1064,usa,livonia,madonna university,mi,48150,1/31/2016
1065,usa,elyria,ashland univ - elyria,oh,44035,1/31/2016
1066,usa,dixon,sauk valley college,il,61021,1/31/2016
1067,usa,anderson,ivy tech comm coll - anderson,in,46013-1502,1/31/2016
1068,usa,rochester,monroe community college,ny,14623-5701,1/31/2016
1069,usa,estherville,iowa lakes cc-estherville,ia,51334-2721,1/31/2016
1070,usa,orono,univ of maine at orono,me,4469,1/31/2016
1071,usa,olney,olney central college,il,62450-1043,8/23/2017
1072,usa,tampa,hillsborough cmty coll ybor,fl,33605,8/23/2017
1073,usa,charlottesville,vccs - piedmont virginia cc,va,22902-7589,8/23/2017
1074,usa,goldsboro,wayne community coll goldsb,nc,27534-8212,8/23/2017
1075,usa,bel air,harford community college,md,21015-1627,8/23/2017
1076,usa,raymond,hinds cc- raymond,ms,39154,8/23/2017
1077,usa,springfield,drury university-springfield,mo,65802-3712,8/23/2017
1078,usa,fairfield,solano community college,ca,945344017,8/23/2017
1079,usa,beebe,arkansas state u beebe br,ar,72012-3109,8/23/2017
1080,usa,ankeny,des moines area c c-ankeny,ia,50023-8995,8/23/2017
1081,usa,san antonio,our lady of the lake univ,tx,78207,8/23/2017
1082,usa,forrest city,east arkansas comm coll,ar,72335,8/23/2017
1083,usa,temple terrace,univ of south florida,fl,33637,8/23/2017
1084,usa,helena,carroll college,mt,59625-0001,8/23/2017
1085,usa,chicago heights,prairie state college,il,60411-8200,8/23/2017
1086,usa,institute,west virginia st univ,wv,25112,8/23/2017
1087,usa,bemidji,bemidji state university,mn,56601,8/23/2017
1088,usa,devils lake,lake region state college,nd,58301-1598,8/23/2017
1089,usa,tampa,university of south florida,fl,33620-9951,8/23/2017
1090,usa,lumberton,robeson community college,nc,28360-2158,8/23/2017
1091,usa,ottawa,ottawa university,ks,66067-3341,8/23/2017
1092,usa,madison,ivy tech comm coll - madison,in,47250,8/23/2017
1093,usa,lawrenceville,georgia gwinnett college,ga,30043-7409,8/23/2017
1094,usa,burnaby,simon fraser university,bc,v5a 1s6,8/23/2017
1095,usa,jamestown,jamestown cmty clg jamestwn,ny,14701-1920,8/23/2017
1096,usa,marietta,kennesaw state univ - marietta cmps,ga,30060-2855,8/23/2017
1097,usa,berkeley,univ of calif -  berkeley,ca,94720,8/23/2017
1098,usa,wichita,friends university,ks,67213-3379,8/23/2017
1099,usa,winston salem,forsyth technical comm coll,nc,27103-5150,8/24/2017
1100,usa,overland park,univ of kansas-overland par,ks,66225,8/24/2017
1101,usa,sayre,s w ok st univ-sayre,ok,73662,8/24/2017
1102,usa,media,penn state u brandywine,pa,19063-5522,8/24/2017
1103,usa,keene,southwestern adventist univ,tx,76059,8/24/2017
1104,usa,fairfax,george mason university,va,22030-4422,8/24/2017
1105,usa,lima,j a rhodes state college,oh,45804-3576,8/24/2017
1106,usa,wilmington,southern state cc - north,oh,45177-7146,8/24/2017
1107,usa,mandeville,northshore tech cc - mandeville,la,70471,8/24/2017
1108,usa,san mateo,college of san mateo,ca,94402,8/24/2017
1109,usa,alfred,alfred university,ny,14802,8/24/2017
1110,usa,raleigh,nc state university,nc,27606-1428,8/24/2017
1111,usa,merced,uc merced,ca,95343,8/24/2017
1112,usa,cresson,mount aloysius college,pa,16630-1902,8/24/2017
1113,usa,moscow,university of idaho,id,83844,8/24/2017
1114,usa,orange park,st johns river st coll - org park,fl,32065-7639,8/24/2017
1115,usa,new orleans,loyola university,la,70118-6143,8/24/2017
1116,usa,cleveland,truett mcconnell college,ga,30528-1264,8/24/2017
1117,usa,greensburg,seton hill university,pa,15601,8/24/2017
1118,usa,notre dame,holy cross college,in,46556,8/24/2017
1119,usa,west liberty,west liberty university,wv,26074,8/24/2017
1120,usa,west des moines,des moines area cc-west,ia,50266-5302,8/24/2017
1121,usa,huntsville,univ of alabama-huntsville,al,35899-1911,8/24/2017
1122,usa,lakeland,florida southern college,fl,33801-5607,8/24/2017
1123,usa,greensburg,northshore tech cc - greensburg,la,70441,8/24/2017
1124,usa,tamp,saint leo univ - tampa,fl,336198317,8/24/2017
1125,usa,altoona,penn state u altoona,pa,16601-3777,8/24/2017
1126,usa,tulsa,tulsa comm coll-west campus,ok,74107,3/10/2015
1127,usa,medford,tufts university,ma,2155,3/11/2015
1128,usa,pensacola,pensacola state college,fl,32504-8910,3/11/2015
1129,usa,spokane,whitworth university,wa,99251,3/12/2015
1130,usa,albemarle,stanly community college,nc,28001-7458,3/12/2015
1131,usa,newton,boston college,ma,02459-1148,3/12/2015
1132,usa,redlands,community christian college,ca,92373,3/12/2015
1133,usa,detroit,wayne cnty cc-nw,mi,48219-3580,3/12/2015
1134,usa,grand rapids,aquinas college,mi,49506-1741,3/18/2015
1135,usa,kingwood,lonestar college - kingwood,tx,77339,3/18/2015
1136,usa,orlando,valencia coll - west,fl,32811-2302,3/24/2015
1137,usa,owensboro,kctcs-owensboro-downtown,ky,42301-4806,3/24/2015
1138,usa,saint paul,macalester college,mn,55105-1801,3/26/2015
1139,usa,los angeles,ucla - los angeles,ca,90095,3/30/2015
1140,usa,bryan,blinn -occ ed college,tx,77801,3/30/2015
1141,usa,kaneohe,hawaii pacific univ-loa,hi,96744,3/31/2015
1142,usa,orlando,adventist univ of health sci,fl,32803-1237,3/31/2015
1143,usa,seminole,seminole state college,ok,74868,4/1/2015
1144,usa,nashville,tenn state university,tn,37209,4/5/2015
1145,usa,lenexa,a&amp;l underground inc,ks,66215,4/7/2015
1146,usa,mount vernon,skagit valley college,wa,98273,4/7/2015
1147,usa,presque isle,northern maine comm coll,me,04769-2016,4/7/2015
1148,usa,columbus,inside sales,oh,43235,4/9/2015
1149,usa,colchester,saint michaels college,vt,05439-0001,4/9/2015
1150,usa,aberdeen,grays harbor cmty college,wa,98520,4/13/2015
1151,usa,mobile,spring hill college,al,36608-1780,4/15/2015
1152,usa,media,pennsylvania inst tech,pa,19063-4036,4/17/2015
1153,usa,garden city,nassau community college,ny,11530,4/18/2015
1154,usa,hartsville,coker college,sc,29550-3742,4/18/2015
1155,usa,olympia,south puget sound cmty coll,wa,98512,4/20/2015
1156,usa,tifton,abraham baldwin agric coll,ga,31793,4/21/2015
1157,usa,brooklyn,brooklyn college,ny,11210-2850,4/21/2015
1158,usa,sumter,central carolina tech coll,sc,29150,4/22/2015
1159,usa,rockville,johns hopkins university,md,20850-3330,4/22/2015
1160,usa,keuka park,keuka college,ny,14478,4/24/2015
1161,usa,cortland,suny at cortland,ny,13045,4/25/2015
1162,usa,parkville,park university,mo,64152-4358,4/27/2015
1163,usa,glassboro,rowan university of new jersey,nj,08028-1700,4/29/2015
1164,usa,jacksonville,fl st coll - jacksonville south,fl,32246,1/4/2017
1165,usa,johnstown,univ of pitts at johnstown,pa,15904-2912,1/4/2017
1166,usa,greenville,thiel college,pa,16125-2186,1/4/2017
1167,usa,boston,wentworth inst of tech,ma,02115-5901,1/4/2017
1168,usa,portland,portland cmty coll cascade,or,97217,1/4/2017
1169,usa,meridan,univ of phoenix - id,id,83642,1/4/2017
1170,usa,greensburg,univ of pitts at greensburg,pa,15601-5804,1/4/2017
1171,usa,titusville,univ of pitts at titusville,pa,16354,1/4/2017
1172,usa,portland,portland cmty coll rock crk,or,97229,1/5/2017
1173,usa,nashua,rivier university,nh,3060,1/5/2017
1174,usa,jacksonville,jacksonville st university,al,36265-1602,1/5/2017
1175,usa,santa clara,santa clara university,ca,95053,1/5/2017
1176,usa,tampa,southwest florida coll,fl,33619-1344,1/5/2017
1177,usa,oakwood,lanier tech coll - oakwood,ga,30566,1/5/2017
1178,usa,hanceville,wallace st comm coll-hanceville,al,35077,1/5/2017
1179,usa,warren,macomb cmty coll-south cp,mi,48088,1/31/2016
1180,usa,west chester,west chester university,pa,19383,2/1/2016
1181,usa,hobbs,new mexico junior college,nm,88240,2/1/2016
1182,usa,portsmouth,great bay community coll,nh,03801-2879,2/1/2016
1183,usa,takoma park,montgomery coll-takoma park,md,20912-4141,2/1/2016
1184,usa,texarkana,texarkana college,tx,75501,2/1/2016
1185,usa,indianapolis,marian university - in,in,46222-1960,2/1/2016
1186,usa,franklin springs,emmanuel college,ga,30639,1/6/2017
1187,usa,pensacola,university of west florida,fl,32514,1/6/2017
1188,usa,columbia,columbia college,sc,29203,1/6/2017
1189,usa,flint,univ of michigan-flint,mi,48502,1/6/2017
1190,usa,chicago,university of chicago,il,60637,1/6/2017
1191,usa,lancaster,ohio univ-lancaster,oh,43130-1037,1/6/2017
1192,usa,greenville,furman university,sc,29613-0002,1/6/2017
1193,usa,aberdeen,presentation college,sd,57401,1/6/2017
1194,usa,eugene,university of oregon,or,97403-1253,1/6/2017
1195,usa,portland,univ of oregon,or,97204,1/7/2017
1196,usa,fort myers,fl southwestern st coll - lee campus,fl,33919-5566,1/7/2017
1197,usa,chester,vccs - john tyler cc-chester,va,23831,1/7/2017
1198,usa,riverside,univ of calif - riverside,ca,92521,2/1/2016
1199,usa,hudson,caldwell community college,nc,28638-2672,2/1/2016
1200,usa,seattle,shoreline cmty college,wa,98133,2/1/2016
1201,usa,boone,des moines area cc-boone,ia,50036-5326,2/1/2016
1202,usa,malibu,pepperdine univ - malibu,ca,90263,2/1/2016
1203,usa,mexia,navarro coll - mexia,tx,76667,2/1/2016
1204,usa,springfield,american international coll,ma,01109-3151,2/1/2016
1205,usa,hamilton,colgate university,ny,13346-1338,2/1/2016
1206,usa,madisonville,kctcs-madisonville,ky,42431-9185,2/1/2016
1207,usa,whittier,rio hondo college,ca,90601,2/1/2016
1208,usa,bennington,southern vermont college,vt,05201-9269,2/1/2016
1209,usa,costa mesa,orange coast college,ca,92626,2/1/2016
1210,usa,allentown,cedar crest college,pa,18104-6132,2/1/2016
1211,usa,new orleans,tulane university,la,70118-5665,2/1/2016
1212,usa,ft worth,tarrant cnty coll so,tx,76119,2/1/2016
1213,usa,farmington hills,oakland cc -orchard ridge,mi,48334,2/1/2016
1214,usa,bismarck,bismarck state college,nd,58501-1276,2/1/2016
1215,usa,angwin,pacific union college,ca,94508,1/8/2017
1216,usa,aiken,univ of sc - aiken,sc,29801-6389,1/8/2017
1217,usa,portland,university of portland,or,97203,1/8/2017
1218,usa,wayne,wayne state college,ne,68787,1/8/2017
1219,usa,saint augustine,st johns river st coll -st augustine,fl,32084-1197,1/9/2017
1220,usa,plymouth,lakeland college,wi,53073,2/1/2016
1221,usa,bradford,univ of pitts at bradford,pa,16701-2812,2/1/2016
1222,usa,akron,univ of akron,oh,44325-0001,2/1/2016
1223,usa,winchester,kctcs-bluegrass-winchester-clark,ky,40391-1804,2/1/2016
1224,usa,champaign,parkland college,il,61821-1806,2/1/2016
1225,usa,altoona,penn state univ-altoona,pa,16601-3777,2/2/2016
1226,usa,casper,casper college,wy,82601,2/2/2016
1227,usa,roxboro,piedmont community college,nc,27573,2/2/2016
1228,usa,ashtabula,kent state u-ashtabula,oh,44004-2316,2/2/2016
1229,usa,fort morgan,morgan comm coll,co,80701,8/24/2017
1230,usa,pueblo,pueblo community college,co,81004,8/24/2017
1231,usa,st marys city,st marys college,md,20686,8/24/2017
1232,usa,berkeley,berkeley city college,ca,94704,8/24/2017
1233,usa,st louis,st louis cc - meramec,mo,631225799,8/24/2017
1234,usa,norwalk,cerritos college,ca,90650,1/9/2017
1235,usa,weldon,halifax cmty coll,nc,27890-0700,1/9/2017
1236,usa,chesapeake,st leo univ - chesapeake,va,23322,1/9/2017
1237,usa,des moines,grand view university,ia,50316-1529,1/9/2017
1238,usa,alameda,college of alameda,ca,94501,2/2/2016
1239,usa,la verne,university of la verne,ca,91750,2/2/2016
1240,usa,albany,darton college,ga,31707-3023,2/2/2016
1241,usa,san antonio,st philips college,tx,78203,2/2/2016
1242,usa,west allis,milwaukee atc w camp west,wi,53214-3110,2/2/2016
1243,usa,southaven,northwest miss cmty coll,ms,38671-8403,2/2/2016
1244,usa,auburndale,lasell college,ma,02466-2709,2/2/2016
1245,usa,gardner,mount wachusett cmty coll,ma,01440-1378,2/2/2016
1246,usa,terrell,trinity valley cc - terrell,tx,75160,2/2/2016
1247,usa,iowa city,kirkwood cc,ia,52240-3102,2/2/2016
1248,usa,wilson,barton college,nc,27893,2/2/2016
1249,usa,bolivar,southwest baptist univ,mo,65613-2578,2/2/2016
1250,usa,winston salem,salem college,nc,27101-5318,8/24/2017
1251,usa,canyon,west texas a&amp; university,tx,79015,8/24/2017
1252,usa,san francisco,university of san francisco,ca,94117,8/24/2017
1253,usa,warrensburg,university of central missouri,mo,64093,8/24/2017
1254,usa,yucaipa,crafton hills college,ca,92399,8/24/2017
1255,usa,peru,peru state college,ne,68421-3073,8/24/2017
1256,usa,san diego,san diego city coll,ca,92101,8/24/2017
1257,usa,boiling springs,gardner-webb university,nc,28017,8/24/2017
1258,usa,wentworth,rockingham community coll,nc,27375-0038,8/24/2017
1259,usa,alamosa,adams state university,co,81102,8/24/2017
1260,usa,riverdale,manhattan college,ny,10471,8/24/2017
1261,usa,imperial,imperial valley college,ca,92251,8/24/2017
1262,usa,west point,point university,ga,31833,8/24/2017
1263,usa,cedar rapids,coe college,ia,52402,8/24/2017
1264,usa,madera,madera cmty clg ctr,ca,93637,8/24/2017
1265,usa,plymouth,plymouth state university,nh,03264-1595,8/24/2017
1266,usa,columbus,miss university  for women,ms,39701-5821,8/24/2017
1267,usa,syracuse,le moyne college,ny,13214-1302,8/24/2017
1268,usa,los alamos,univ of nm-los alamos,nm,87544,8/24/2017
1269,usa,great bend,barton cnty cc-great bend,ks,67530-9803,8/24/2017
1270,usa,dallas,misericordia university,pa,18612-1008,8/24/2017
1271,usa,clinton,mississippi college,ms,39058-0001,8/24/2017
1272,usa,roanoke,virginia western cmty coll,va,24015-4705,8/24/2017
1273,usa,clovis,clovis community college,nm,88101,8/24/2017
1274,usa,dothan,troy univ dothan,al,36303-1568,8/24/2017
1275,usa,centennial,pearson internal test,co,80122,8/24/2017
1276,usa,milwaukee,marquette univ,wi,53233-2207,8/24/2017
1277,usa,new westminster,douglas college,bc,v3l 5b2,8/24/2017
1278,usa,davidson,davidson college,nc,28035-0001,8/24/2017
1279,usa,north east,cecil  college,md,21901-1900,5/5/2015
1280,usa,naples,ave maria university,fl,34119-1376,5/5/2015
1281,usa,eden prairie,wol-abc minnesota,mn,55344,5/7/2015
1282,usa,san luis obispo,california polytech st univ,ca,93407,5/14/2015
1283,usa,miami,miami-dade  coll wolfsn,fl,33132-2204,5/14/2015
1284,usa,orange city,northwestern college,ia,51041-1923,5/15/2015
1285,usa,racine,gateway tech coll,wi,53403-1518,5/18/2015
